countriesAndTerritories,cases,deaths,"Countries, territories and areas","Number of deaths due to tuberculosis, excluding HIV",Current health expenditure,Healthy life expectancy at birth
Afghanistan,49273,1971,Afghanistan,13000,15.53,53.9
Albania,48530,1003,Albania,9,6.51,69.1
Algeria,92102,2596,Algeria,3900,6.32,66.4
Andorra,7338,79,Andorra,0,9.05,64.45
Angola,16188,371,Angola,18000,2.91,54.8
Antigua_and_Barbuda,148,4,Antigua and Barbuda,1,5.61,67
Argentina,1498160,40766,Argentina,680,9.98,67.1
Armenia,148682,2503,Armenia,28,12.24,67.1
Australia,28031,908,Australia,45,10.65,70.9
Austria,320036,4400,Austria,41,11.47,70.9
Azerbaijan,175874,1922,Azerbaijan,650,4.61,63.6
Bahamas,7674,163,Bahamas,2,7.59,64.4
Bahrain,89143,348,Bahrain,8,4.72,65.9
Bangladesh,490533,7052,Bangladesh,44000,2.63,64.3
Barbados,292,7,Barbados,2,7.2,67
Belarus,160295,1263,Belarus,270,6.41,66
Belgium,608001,17951,Belgium,33,11.06,70.6
Belize,9295,195,Belize,7,6.92,65.3
Benin,3090,44,Benin,1200,2.59,55.5
Bhutan,438,0,Bhutan,180,4.37,63.4
Bolivia,147150,9018,Bolivia (Plurinational State of),1300,7.86,63.3
Bosnia_and_Herzegovina,101117,3336,Bosnia and Herzegovina,94,9.84,67.2
Botswana,12501,37,Botswana,730,6.19,53.9
Brazil,6901952,181402,Brazil,5800,10.31,65.4
Brunei_Darussalam,152,3,Brunei Darussalam,23,2.39,65.6
Bulgaria,179449,5688,Bulgaria,97,8.52,66.3
Burkina_Faso,4030,71,Burkina Faso,1800,6.72,54.9
Burundi,729,1,Burundi,2400,6.5,55.6
Cape_Verde,11357,110,Cabo Verde,25,6.02,64.8
Cambodia,359,0,Cambodia,3200,7.51,61.5
Cameroon,25143,443,Cameroon,8100,3.77,54.5
Canada,460743,13431,Canada,78,12.94,71.3
Central_African_Republic,4936,63,Central African Republic,5100,9.4,46.4
Chad,1770,102,Chad,4200,5.41,52
Chile,571919,15886,Chile,320,9.75,70
China,91994,4739,China,30000,5.59,68.5
Colombia,1425774,39053,Colombia,1300,8.99,69
Comoros,628,7,Comoros,58,5.35,58.9
Congo,6049,99,Congo,3200,4.47,56.2
Costa_Rica,150947,1895,Costa Rica,31,7.86,70
Cote_dIvoire,21680,133,C̫te d'Ivoire,6300,3.72,54.8
Croatia,175886,2640,Croatia,36,7.77,68.6
Cuba,9423,137,Cuba,39,12.49,67.8
Cyprus,15101,78,Cyprus,5,8.09,72.4
Czechia,581079,9609,Czechia,23,9.24,68.8
Democratic_Republic_of_the_Congo,14512,355,Democratic Republic of the Congo,43000,4.05,54.1
Denmark,109758,941,Denmark,10,10.53,71
Djibouti,5728,61,Djibouti,340,2.01,58
Dominica,87,0,Dominica,3,5.65,64.45
Dominican_Republic,154692,2361,Dominican Republic,220,4.94,64
Ecuador,202110,13875,Ecuador,680,8.48,68.5
Egypt,121575,6920,Egypt,460,4.36,63
El_Salvador,41880,1205,El Salvador,61,9.85,64.9
Equatorial_Guinea,5185,85,Equatorial Guinea,750,3.77,53.9
Eritrea,711,0,Eritrea,560,4.09,55.7
Estonia,18055,149,Estonia,16,7.75,69.2
Eswatini,6768,127,Eswatini,260,6.51,50.1
Ethiopia,116769,1806,Ethiopia,20000,3.48,59.9
Fiji,46,2,Fiji,40,3.75,59.6
Finland,30810,453,Finland,30,9.61,71
France,2376852,57911,France,440,12.21,72.1
Gabon,9330,63,Gabon,2200,3.43,57.6
Gambia,3782,123,Gambia,620,2.61,57
Georgia,191063,1839,Georgia,140,7.6,64.7
Germany,1337078,21975,Germany,270,12.82,70.9
Ghana,53014,327,Ghana,12000,3.99,58
Greece,124534,3625,Greece,44,9.51,70.9
Grenada,69,0,Grenada,2,5.82,63.9
Guatemala,129282,4423,Guatemala,210,6.47,62.3
Guinea,13420,79,Guinea,2600,4.04,53.3
Guinea_Bissau,2444,44,Guinea-Bissau,1400,8.41,52.6
Guyana,5920,155,Guyana,99,5.51,57.2
Haiti,9565,234,Haiti,980,3.22,55.8
Honduras,114359,2975,Honduras,530,9.04,63
Hungary,283870,7130,Hungary,62,7.25,67.2
Iceland,5557,28,Iceland,2,9.56,72
India,9884100,143355,India,470000,2.96,60.3
Indonesia,617820,18819,Indonesia,93000,3.41,62.8
Iran,1108269,52196,Iran (Islamic Republic of),880,5.34,66.3
Iraq,574634,12579,Iraq,890,5.08,62.7
Ireland,76185,2124,Ireland,18,7.1,71.1
Israel,357859,2999,Israel,21,8.32,72.4
Italy,1843712,64520,Italy,300,9.63,71.9
Jamaica,11710,273,Jamaica,7,6.61,66.6
Japan,179653,2585,Japan,3200,10.9,74.1
Jordan,259614,3365,Jordan,9,7.47,67.6
Kazakhstan,186277,2552,Kazakhstan,330,3.79,65
Kenya,91892,1587,Kenya,20000,4.29,57.7
Kuwait,146218,911,Kuwait,16,6.31,70.1
Kyrgyzstan,77674,1312,Kyrgyzstan,290,5.26,65.8
Latvia,25675,349,Latvia,64,7.45,66.2
Lebanon,146520,1200,Lebanon,62,7.95,66
Lesotho,2250,44,Lesotho,1200,11.78,44.2
Liberia,1676,83,Liberia,3500,9.5,54.9
Libya,90779,1299,Libya,980,6.51,65.2
Lithuania,95021,825,Lithuania,120,7.54,66.7
Luxembourg,41272,396,Luxembourg,2,5.77,71.6
Madagascar,17638,258,Madagascar,14000,3.88,57.3
Malawi,6066,187,Malawi,3000,5.43,57.1
Malaysia,83475,415,Malaysia,1600,4.12,65.7
Maldives,13368,48,Maldives,11,11.35,70
Mali,5814,194,Mali,1700,4.31,54.6
Malta,11101,166,Malta,1,10.84,71.5
Marshall_Islands,4,0,Marshall Islands,31,13.01,64.45
Mauritania,10780,222,Mauritania,680,3.36,59.8
Mauritius,515,10,Mauritius,15,6.66,63.9
Mexico,1250044,113953,Mexico,1500,6.24,65.8
Monaco,668,2,Monaco,0,1.67,64.45
Mongolia,912,0,Mongolia,330,4.94,60.3
Montenegro,41426,582,Montenegro,1,11.42,67
Morocco,399609,6624,Morocco,3500,5.99,63.7
Mozambique,16954,142,Mozambique,7200,7.62,50.4
Myanmar,108342,2268,Myanmar,18000,3.69,60.9
Namibia,16536,160,Namibia,1400,8.9,56.1
Nepal,248423,1698,Nepal,16000,5.17,61.3
Netherlands,612746,10034,Netherlands,21,11.14,71.4
New_Zealand,1740,25,New Zealand,13,10.03,70.2
Nicaragua,5887,162,Nicaragua,150,8.63,65.5
Niger,2258,80,Niger,3800,6.2,55.5
Nigeria,73175,1197,Nigeria,131000,3.38,54.4
Norway,40022,387,Norway,18,11.42,71.4
Oman,126240,1471,Oman,16,5.33,64.7
Pakistan,440787,8832,Pakistan,45000,2.95,56.9
Panama,193007,3356,Panama,200,9.66,68.7
Papua_New_Guinea,725,8,Papua New Guinea,4600,2.53,57.1
Paraguay,93582,1953,Paraguay,230,7.58,65.8
Peru,984973,36677,Peru,2400,6.3,69.5
Philippines,449400,8733,Philippines,32000,5.11,62
Poland,1135676,22864,Poland,510,6.49,68.7
Portugal,348744,5559,Portugal,240,10.55,71
Qatar,140961,240,Qatar,8,4.18,67.1
North_Macedonia,73638,2121,North Macedonia,9,7.89,66.1
Romania,556335,13385,Romania,930,6.27,66.8
Russia,2653928,46941,Russian Federation,7300,7.6,64.2
Rwanda,6659,56,Rwanda,820,7.32,60.2
Saudi_Arabia,359888,6048,Saudi Arabia,790,6.51,64
Senegal,17075,349,Senegal,2800,5.15,59.4
Serbia,266432,2331,Serbia,46,8.73,66.9
Seychelles,187,0,Seychelles,1,6.39,64
Sierra_Leone,2440,75,Sierra Leone,3500,8.76,52.9
Singapore,58320,29,Singapore,25,6.05,73.6
Slovakia,132984,1175,Slovakia,14,7.23,68.5
Slovenia,96314,1459,Slovenia,14,9.45,70.7
Solomon_Islands,17,0,Solomon Islands,44,4.43,57.8
Somalia,4579,121,Somalia,11000,6.51,49.7
South_Africa,860964,23276,South Africa,22000,8.58,56.2
South_Sudan,3206,62,South Sudan,3500,5.25,53.7
Spain,1730575,47624,Spain,230,10.71,72.1
Sri_Lanka,32790,152,Sri Lanka,750,4.07,67
Sudan,21386,1347,Sudan,4800,3.02,59.9
Suriname,5353,117,Suriname,14,6.77,62.4
Sweden,320098,7514,Sweden,23,11.38,71.9
Switzerland,372329,5378,Switzerland,17,11.8,72.5
Tajikistan,12704,88,Tajikistan,830,8.18,62
Thailand,4237,60,Thailand,9100,4.36,68.3
Timor_Leste,31,0,Timor-Leste,1200,9.85,60.9
Togo,3251,66,Togo,280,5.96,56.2
Trinidad_and_Tobago,6879,122,Trinidad and Tobago,22,7.31,66.2
Tunisia,111361,3894,Tunisia,140,6.34,66.9
Uganda,27532,221,Uganda,9100,3.96,58.2
Ukraine,900666,15247,Ukraine,3600,7.62,64.3
United_Arab_Emirates,184949,617,United Arab Emirates,63,5.67,66
United_Kingdom,1849403,64170,United Kingdom of Great Britain and Northern Ireland,230,11.98,70.1
United_Republic_of_Tanzania,509,21,United Republic of Tanzania,20000,3.75,58.5
United_States_of_America,16256754,299177,United States of America,580,18.82,66.1
Uruguay,9708,92,Uruguay,66,9.15,67.5
Uzbekistan,75094,612,Uzbekistan,1100,6.75,64.7
Vanuatu,1,0,Vanuatu,17,3.97,57.8
Venezuela,107177,949,Venezuela (Bolivarian Republic of),680,3.82,64.4
Vietnam,1397,35,Viet Nam,8600,4.68,65.3
Yemen,2083,606,Yemen,3100,6.51,57.5
Zambia,18274,367,Zambia,6100,5.62,54.4
Zimbabwe,11246,307,Zimbabwe,1800,3.43,53.1
